country,week_end_date,activations
Australia,10/1/2017,"4,300"
Germany,10/1/2017,"26,723"
United Kingdom,10/1/2017,"26,797"
United States,10/1/2017,"41,292"
Australia,10/8/2017,"4,027"
Germany,10/8/2017,"24,165"
United Kingdom,10/8/2017,"21,036"
United States,10/8/2017,"38,545"
Australia,10/15/2017,"3,387"
Germany,10/15/2017,"12,819"
United Kingdom,10/15/2017,"14,121"
United States,10/15/2017,"36,885"
Australia,10/22/2017,"4,174"
Germany,10/22/2017,"14,744"
United Kingdom,10/22/2017,"13,148"
United States,10/22/2017,"36,749"
Australia,10/29/2017,"3,807"
Germany,10/29/2017,"20,892"
United Kingdom,10/29/2017,"13,025"
United States,10/29/2017,"34,262"
Australia,11/5/2017,"5,446"
Germany,11/5/2017,"17,301"
United Kingdom,11/5/2017,"16,513"
United States,11/5/2017,"60,344"
Australia,11/12/2017,"5,456"
Germany,11/12/2017,"14,323"
United Kingdom,11/12/2017,"16,619"
United States,11/12/2017,"60,643"
Australia,11/19/2017,"5,164"
Germany,11/19/2017,"15,089"
United Kingdom,11/19/2017,"17,198"
United States,11/19/2017,"63,387"
Australia,11/26/2017,"9,419"
Germany,11/26/2017,"67,605"
United Kingdom,11/26/2017,"36,545"
United States,11/26/2017,"308,652"
Australia,12/3/2017,"6,196"
Germany,12/3/2017,"31,185"
United Kingdom,12/3/2017,"31,074"
United States,12/3/2017,"135,496"
Australia,12/10/2017,"5,609"
Germany,12/10/2017,"18,332"
United Kingdom,12/10/2017,"16,367"
United States,12/10/2017,"79,751"
Australia,12/17/2017,"6,005"
Germany,12/17/2017,"16,606"
United Kingdom,12/17/2017,"17,034"
United States,12/17/2017,"80,229"
Australia,12/24/2017,"16,738"
Germany,12/24/2017,"59,891"
United Kingdom,12/24/2017,"24,968"
United States,12/24/2017,"151,110"
Australia,12/31/2017,"28,589"
Germany,12/31/2017,"72,583"
United Kingdom,12/31/2017,"155,736"
United States,12/31/2017,"634,330"
Australia,1/7/2018,"7,317"
Germany,1/7/2018,"21,928"
United Kingdom,1/7/2018,"24,465"
United States,1/7/2018,"115,098"
Australia,1/14/2018,"5,643"
Germany,1/14/2018,"14,288"
United Kingdom,1/14/2018,"14,660"
United States,1/14/2018,"71,513"
Australia,1/21/2018,"4,726"
Germany,1/21/2018,"13,229"
United Kingdom,1/21/2018,"12,721"
United States,1/21/2018,"66,950"
Australia,1/28/2018,"4,949"
Germany,1/28/2018,"12,324"
United Kingdom,1/28/2018,"12,785"
United States,1/28/2018,"62,402"
Australia,2/4/2018,"4,292"
Germany,2/4/2018,"16,541"
United Kingdom,2/4/2018,"12,951"
United States,2/4/2018,"66,316"
Australia,2/11/2018,"4,057"
Germany,2/11/2018,"12,846"
United Kingdom,2/11/2018,"10,411"
United States,2/11/2018,"66,615"
Australia,2/18/2018,"3,940"
Germany,2/18/2018,"11,744"
United Kingdom,2/18/2018,"10,898"
United States,2/18/2018,"65,616"
Australia,2/25/2018,"4,060"
Germany,2/25/2018,"10,352"
United Kingdom,2/25/2018,"9,709"
United States,2/25/2018,"101,820"
Australia,3/4/2018,"3,862"
Germany,3/4/2018,"11,671"
United Kingdom,3/4/2018,"10,584"
United States,3/4/2018,"88,711"
Australia,3/11/2018,"3,681"
Germany,3/11/2018,"9,779"
United Kingdom,3/11/2018,"10,093"
United States,3/11/2018,"75,368"
Australia,3/18/2018,"3,609"
Germany,3/18/2018,"9,625"
United Kingdom,3/18/2018,"9,113"
United States,3/18/2018,"70,564"
Australia,3/25/2018,"3,723"
Germany,3/25/2018,"10,141"
United Kingdom,3/25/2018,"9,718"
United States,3/25/2018,"69,306"
Australia,4/1/2018,"4,320"
Germany,4/1/2018,"15,498"
United Kingdom,4/1/2018,"10,896"
United States,4/1/2018,"68,493"
Australia,4/8/2018,"4,408"
Germany,4/8/2018,"15,944"
United Kingdom,4/8/2018,"10,205"
United States,4/8/2018,"62,480"
Australia,4/15/2018,"4,803"
Germany,4/15/2018,"10,997"
United Kingdom,4/15/2018,"10,538"
United States,4/15/2018,"54,973"
Australia,4/22/2018,"5,859"
Germany,4/22/2018,"9,731"
United Kingdom,4/22/2018,"10,751"
United States,4/22/2018,"95,029"
Australia,4/29/2018,"4,708"
Germany,4/29/2018,"11,902"
United Kingdom,4/29/2018,"11,768"
United States,4/29/2018,"70,936"
Australia,5/6/2018,"3,583"
Germany,5/6/2018,"10,944"
United Kingdom,5/6/2018,"9,426"
United States,5/6/2018,"54,878"
Australia,5/13/2018,"3,509"
Germany,5/13/2018,"8,097"
United Kingdom,5/13/2018,"9,153"
United States,5/13/2018,"49,655"
Australia,5/20/2018,"3,690"
Germany,5/20/2018,"8,599"
United Kingdom,5/20/2018,"8,229"
United States,5/20/2018,"51,159"
Australia,5/27/2018,"3,502"
Germany,5/27/2018,"7,553"
United Kingdom,5/27/2018,"9,379"
United States,5/27/2018,"52,838"
Australia,6/3/2018,"3,552"
Germany,6/3/2018,"10,385"
United Kingdom,6/3/2018,"9,959"
United States,6/3/2018,"59,738"
Australia,6/10/2018,"4,535"
Germany,6/10/2018,"10,389"
United Kingdom,6/10/2018,"10,166"
United States,6/10/2018,"64,377"
Australia,6/17/2018,"5,528"
Germany,6/17/2018,"12,306"
United Kingdom,6/17/2018,"12,803"
United States,6/17/2018,"78,886"
Australia,6/24/2018,"4,411"
Germany,6/24/2018,"9,966"
United Kingdom,6/24/2018,"9,630"
United States,6/24/2018,"62,752"
Australia,7/1/2018,"4,453"
Germany,7/1/2018,"9,633"
United Kingdom,7/1/2018,"9,042"
United States,7/1/2018,"50,226"
Australia,7/8/2018,"4,767"
Germany,7/8/2018,"7,574"
United Kingdom,7/8/2018,"8,244"
United States,7/8/2018,"48,578"
Australia,7/15/2018,"5,079"
Germany,7/15/2018,"8,475"
United Kingdom,7/15/2018,"7,858"
United States,7/15/2018,"45,290"
Australia,7/22/2018,"6,197"
Germany,7/22/2018,"12,446"
United Kingdom,7/22/2018,"10,149"
United States,7/22/2018,"44,303"
Australia,7/29/2018,"5,264"
Germany,7/29/2018,"8,002"
United Kingdom,7/29/2018,"8,926"
United States,7/29/2018,"43,787"
Australia,8/5/2018,"4,347"
Germany,8/5/2018,"8,689"
United Kingdom,8/5/2018,"9,845"
United States,8/5/2018,"43,347"
Australia,8/12/2018,"4,141"
Germany,8/12/2018,"9,606"
United Kingdom,8/12/2018,"9,324"
United States,8/12/2018,"42,832"
Australia,8/19/2018,"4,027"
Germany,8/19/2018,"11,319"
United Kingdom,8/19/2018,"10,255"
United States,8/19/2018,"43,614"
Australia,8/26/2018,"3,867"
Germany,8/26/2018,"9,421"
United Kingdom,8/26/2018,"10,096"
United States,8/26/2018,"43,438"
Australia,9/2/2018,"4,474"
Germany,9/2/2018,"9,418"
United Kingdom,9/2/2018,"9,440"
United States,9/2/2018,"46,613"
Australia,9/9/2018,"5,477"
Germany,9/9/2018,"11,183"
United Kingdom,9/9/2018,"14,980"
United States,9/9/2018,"88,701"
