topic,week_start_date,country,sentiment,volume
K Console,10/30/2017,Australia,negative,115
K Console,10/30/2017,United Kingdom,neutral,6227
K Console,10/30/2017,Australia,neutral,1135
K Console,10/30/2017,Germany,unassigned,95
K Console,10/30/2017,United States,neutral,54020
K Console,10/30/2017,Germany,positive,1061
K Console,10/30/2017,Australia,unassigned,16
K Console,10/30/2017,United Kingdom,positive,1405
K Console,10/30/2017,United Kingdom,negative,519
K Console,10/30/2017,United States,positive,11492
K Console,10/30/2017,Germany,negative,348
K Console,10/30/2017,United States,unassigned,1200
K Console,10/30/2017,Australia,positive,325
K Console,10/30/2017,United States,negative,6143
K Console,10/30/2017,United Kingdom,unassigned,174
K Console,10/30/2017,Germany,neutral,
K Console,11/6/2017,Australia,neutral,1856
K Console,11/6/2017,Germany,neutral,2200
K Console,11/6/2017,United Kingdom,neutral,9554
K Console,11/6/2017,United Kingdom,negative,825
K Console,11/6/2017,Australia,positive,405
K Console,11/6/2017,Australia,negative,133
K Console,11/6/2017,Germany,unassigned,85
K Console,11/6/2017,United States,negative,8222
K Console,11/6/2017,Germany,positive,1629
K Console,11/6/2017,United Kingdom,positive,1729
K Console,11/6/2017,United States,unassigned,1476
K Console,11/6/2017,United States,neutral,75742
K Console,11/6/2017,United Kingdom,unassigned,204
K Console,11/6/2017,United States,positive,15450
K Console,11/6/2017,Australia,unassigned,29
K Console,11/6/2017,Germany,negative,
K Console,11/13/2017,United Kingdom,unassigned,238
K Console,11/13/2017,United Kingdom,neutral,11959
K Console,11/13/2017,Australia,negative,181
K Console,11/13/2017,United States,positive,14200
K Console,11/13/2017,United States,unassigned,1344
K Console,11/13/2017,Germany,positive,1301
K Console,11/13/2017,United Kingdom,negative,1153
K Console,11/13/2017,Australia,positive,353
K Console,11/13/2017,Germany,unassigned,60
K Console,11/13/2017,United States,neutral,84234
K Console,11/13/2017,United States,negative,8337
K Console,11/13/2017,Australia,neutral,2439
K Console,11/13/2017,Germany,negative,
K Console,11/13/2017,Australia,unassigned,
K Console,11/13/2017,Germany,neutral,
K Console,11/13/2017,United Kingdom,positive,
K Console,11/20/2017,Australia,negative,145
K Console,11/20/2017,United States,unassigned,1272
K Console,11/20/2017,Germany,neutral,3109
K Console,11/20/2017,United Kingdom,positive,2095
K Console,11/20/2017,United States,positive,12979
K Console,11/20/2017,Australia,unassigned,26
K Console,11/20/2017,United Kingdom,unassigned,245
K Console,11/20/2017,United Kingdom,negative,1040
K Console,11/20/2017,Australia,neutral,2032
K Console,11/20/2017,Germany,unassigned,86
K Console,11/20/2017,United Kingdom,neutral,13457
K Console,11/20/2017,Australia,positive,409
