topic,week_start_date,country,volume
K Console,11/20/2017,Germany,4750
K Console,11/20/2017,United Kingdom,14428
K Console,11/20/2017,Australia,2190
K Console,11/20/2017,United States,77280
K Console,11/27/2017,Australia,2267
K Console,11/27/2017,United States,123159
K Console,11/27/2017,Germany,4710
K Console,11/27/2017,United Kingdom,14513
K Console,12/4/2017,United States,125452
K Console,12/4/2017,United Kingdom,17360
K Console,12/4/2017,Germany,5935
K Console,12/4/2017,Australia,2536
K Console,12/11/2017,Australia,2099
K Console,12/11/2017,Germany,5609
K Console,12/11/2017,United States,
K Console,12/11/2017,United Kingdom,
K Console,12/18/2017,Germany,21400
K Console,12/18/2017,United States,99206
K Console,12/18/2017,United Kingdom,16235
K Console,12/18/2017,Australia,
K Console,12/25/2017,Germany,3734
K Console,12/25/2017,Australia,1844
K Console,12/25/2017,United Kingdom,14484
K Console,12/25/2017,United States,103238
K Console,1/1/2018,United Kingdom,12026
K Console,1/1/2018,Australia,1501
K Console,1/1/2018,United States,102137
K Console,1/1/2018,Germany,4329
K Console,1/8/2018,United States,99916
K Console,1/8/2018,United Kingdom,9823
K Console,1/8/2018,Germany,4692
K Console,1/8/2018,Australia,1562
K Console,1/15/2018,United Kingdom,12268
K Console,1/15/2018,United States,104830
K Console,1/15/2018,Australia,1741
K Console,1/15/2018,Germany,5317
K Console,1/22/2018,United Kingdom,13397
K Console,1/22/2018,United States,123384
K Console,1/22/2018,Australia,
K Console,1/22/2018,Germany,
K Console,1/29/2018,United Kingdom,5777
K Console,1/29/2018,United States,39194
K Console,1/29/2018,United Kingdom,4068
K Console,1/29/2018,Germany,1869
K Console,1/29/2018,United States,66597
K Console,1/29/2018,Australia,1011
K Console,1/29/2018,Australia,641
K Console,1/29/2018,Germany,3282
K Console,2/5/2018,United States,96977
K Console,2/5/2018,Australia,1714
K Console,2/5/2018,Germany,3638
K Console,2/5/2018,United Kingdom,9176
K Console,2/12/2018,Australia,1729
K Console,2/12/2018,United States,98863
K Console,2/12/2018,United Kingdom,10821
K Console,2/12/2018,Germany,4714
K Console,2/19/2018,Australia,2444
K Console,2/19/2018,United States,78976
K Console,2/19/2018,Germany,3630
K Console,2/19/2018,United Kingdom,
K Console,2/26/2018,Germany,3915
K Console,2/26/2018,United Kingdom,9279
