station,date,air_temp,dew_temp,sea_level_pressure,wind_direction,wind_speed_rate,sky_condition,precip_1hour,precip_6hour
72054200166,2021-01-01T01:00Z,1.5,1.2,,280,4.1,,,
72054200166,2021-01-01T02:00Z,,,,280,3.1,,,
72054200166,2021-01-01T03:00Z,0.8,0.6,,280,4.6,,,
72054200166,2021-01-01T04:00Z,1,0.7,,270,5.7,,,
72054200166,2021-01-01T05:00Z,0.9,0.7,,260,4.6,,,
72054200166,2021-01-01T06:00Z,0.7,0.5,,260,4.6,,,
72054200166,2021-01-01T07:00Z,0.6,0.3,,270,5.7,,,
72054200166,2021-01-01T08:00Z,0.6,0.1,,270,7.2,,,
72054200166,2021-01-01T09:00Z,0.9,0.2,,270,7.2,,,
72054200166,2021-01-01T10:00Z,1.1,0.5,,260,2.6,,,
72054200166,2021-01-01T11:00Z,1,0.1,,270,6.2,4,,
72054200166,2021-01-01T12:00Z,1,0.2,,280,4.6,4,,
72054200166,2021-01-01T13:00Z,1.4,0.5,,280,4.1,,,
72054200166,2021-01-01T14:00Z,1.6,0.8,,280,3.1,,,
72054200166,2021-01-01T15:00Z,3,1.7,,300,4.6,,,
72054200166,2021-01-01T16:00Z,5,2.3,,290,4.6,,,
72054200166,2021-01-01T17:00Z,6.5,2.1,,280,7.2,,,
72054200166,2021-01-01T18:00Z,7.8,2.5,,320,5.7,,,
72054200166,2021-01-01T19:00Z,9.7,1.9,,310,4.1,,,
72054200166,2021-01-01T20:00Z,9.3,2,,290,4.6,,,
72054200166,2021-01-01T21:00Z,9.6,1.6,,310,3.6,,,
72054200166,2021-01-01T22:00Z,10.5,1.6,,320,5.7,0,,
72054200166,2021-01-01T23:00Z,10,0.9,,310,5.1,0,,
72054200166,2021-01-02,6.3,0.5,,330,2.1,0,,
72054200166,2021-01-02T01:00Z,4.5,0.6,,340,2.6,0,,
72054200166,2021-01-02T02:00Z,2.5,0,,20,2.1,0,,
72054200166,2021-01-02T03:00Z,1.6,0,,360,2.1,0,,
72054200166,2021-01-02T04:00Z,2,0.5,,330,2.1,,,
72054200166,2021-01-02T05:00Z,1.9,0,,340,2.6,0,,
72054200166,2021-01-02T06:00Z,2.1,0.1,,0,0,0,,
72054200166,2021-01-02T07:00Z,2.1,0.3,,330,2.6,0,,
72054200166,2021-01-02T08:00Z,2,0,,310,3.6,0,,
72054200166,2021-01-02T09:00Z,2.1,0,,310,3.1,0,,
72054200166,2021-01-02T10:00Z,2.3,-0.1,,300,3.1,0,,
72054200166,2021-01-02T11:00Z,1.9,-0.5,,270,2.6,0,,
72054200166,2021-01-02T12:00Z,0.5,-0.3,,280,3.6,0,,
72054200166,2021-01-02T13:00Z,0.6,-0.5,,270,2.6,0,,
72054200166,2021-01-02T14:00Z,0.6,-1,,270,2.6,0,,
72054200166,2021-01-02T15:00Z,3.7,-0.2,,270,3.1,0,,
72054200166,2021-01-02T16:00Z,6.1,0,,250,2.1,0,,
72054200166,2021-01-02T17:00Z,8.5,0.3,,250,3.1,0,,
72054200166,2021-01-02T18:00Z,11.1,-2.2,,270,5.1,0,,
72054200166,2021-01-02T19:00Z,13.3,-2.5,,260,4.6,0,,
72054200166,2021-01-02T20:00Z,15.7,-4,,280,4.1,0,,
72054200166,2021-01-02T21:00Z,16.2,-4.5,,260,4.1,0,,
72054200166,2021-01-02T22:00Z,16.3,-4.7,,290,1.5,0,,
72054200166,2021-01-02T23:00Z,15.7,-3.6,,280,1.5,0,,
72054200166,2021-01-03,10,-7.2,,0,0,0,,
72054200166,2021-01-03T01:00Z,7.8,-7.5,,0,0,0,,
72054200166,2021-01-03T02:00Z,8.1,-4.5,,170,2.1,0,,
72054200166,2021-01-03T03:00Z,7.2,-3.5,,0,0,0,,
72054200166,2021-01-03T04:00Z,8,-1.3,,0,0,0,,
72054200166,2021-01-03T05:00Z,7.6,-1.6,,210,3.6,0,,
72054200166,2021-01-03T06:00Z,6.5,-1.4,,240,2.1,0,,
