id,name,date,value
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01,8037
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01,22050
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01,5124
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01,16
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01,48
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01,0
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01,14127
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T01:00Z,8369
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T01:00Z,21682
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T01:00Z,5125
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T01:00Z,21
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T01:00Z,1
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T01:00Z,0
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T01:00Z,14791
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T02:00Z,7456
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T02:00Z,21061
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T02:00Z,5125
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T02:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T02:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T02:00Z,42
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T02:00Z,15591
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T03:00Z,6718
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T03:00Z,20991
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T03:00Z,5125
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T03:00Z,11
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T03:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T03:00Z,27
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T03:00Z,15447
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T04:00Z,6278
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T04:00Z,20781
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T04:00Z,5125
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T04:00Z,10
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T04:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T04:00Z,19
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T04:00Z,14994
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T05:00Z,6405
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T05:00Z,19316
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T05:00Z,5127
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T05:00Z,13
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T05:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T05:00Z,0
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T05:00Z,14558
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T06:00Z,6411
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T06:00Z,18703
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T06:00Z,5126
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T06:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T06:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T06:00Z,0
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T06:00Z,14126
EBA.TEX-ALL.NG.COL.H,"Net generation from coal for Texas (region), hourly - UTC time",2021-01-01T07:00Z,6247
EBA.TEX-ALL.NG.NG.H,"Net generation from natural gas for Texas (region), hourly - UTC time",2021-01-01T07:00Z,18132
EBA.TEX-ALL.NG.NUC.H,"Net generation from nuclear for Texas (region), hourly - UTC time",2021-01-01T07:00Z,5127
EBA.TEX-ALL.NG.OTH.H,"Net generation from other for Texas (region), hourly - UTC time",2021-01-01T07:00Z,12
EBA.TEX-ALL.NG.SUN.H,"Net generation from solar for Texas (region), hourly - UTC time",2021-01-01T07:00Z,0
EBA.TEX-ALL.NG.WAT.H,"Net generation from hydro for Texas (region), hourly - UTC time",2021-01-01T07:00Z,28
EBA.TEX-ALL.NG.WND.H,"Net generation from wind for Texas (region), hourly - UTC time",2021-01-01T07:00Z,14012
